PEDIDO_ID;DATA_PEDIDO;CLIENTE_ID;OBRA_ID;USINA_ID;TIPOCONCRETO_ID;M3_PEDIDO;STATUS;PRECO_UNITARIO;M3_ENTREGUE;HORA_SAIDA;HORA_CHEGADA;MOTIVO_ATRASO
748;2023-03-19;212;2792;100;4;16.38;ENTREGUE;440.04;15.314942981145961;16:53:08;21:02:27;
3;2024-02-05;1188;124;12;1;16.81;ENTREGUE;395.03;16.03703842541502;05:04:34;17:19:25;
231;2022-10-05;474;794;27;1;20.38;ATRASADO;419.16;21.271793228513488;08:24:39;11:23:58;Clima
1650;2022-11-02;1958;1823;36;2;37.51;ENTREGUE;450.22;36.93683245441091;14:30:29;14:05:50;
1266;2025-05-03;924;860;56;4;25.02;ENTREGUE;415.82;23.729898381801927;10:57:20;13:12:35;
1526;2024-09-17;818;225;39;4;22.47;ATRASADO;383.36;20.43156442901728;19:33:40;00:17:32;Manutenção
873;2021-02-05;1641;1515;48;4;14.02;ENTREGUE;443.75;12.975327519284864;20:41:06;08:26:20;
1425;2023-12-08;658;640;84;2;45.53;ENTREGUE;370.47;46.1409530415012;23:11:13;04:32:41;
1294;2023-01-28;900;2155;36;4;26.43;ENTREGUE;290.84;25.17081505128283;12:07:40;21:44:34;
1395;2022-01-02;1306;1866;42;3;19.37;ENTREGUE;296.53;19.64955375620972;01:31:55;02:35:28;
402;2022-05-01;284;2723;21;2;25.41;ENTREGUE;320.49;24.736249551730555;19:40:46;17:08:27;
309;2021-05-13;879;122;86;4;9.73;ENTREGUE;395.95;8.882537859580845;13:44:10;15:24:13;
1758;2023-02-02;90;1950;19;4;6.96;ENTREGUE;488.3;6.412207635959881;12:53:34;15:34:31;
815;2025-02-25;575;2946;91;4;49.08;ENTREGUE;490.58;50.418083040838475;01:50:13;05:15:25;
1220;2025-01-12;1118;28;30;4;26.58;ENTREGUE;496.37;24.638265600052637;21:01:34;19:49:25;
1470;2025-03-05;613;2607;56;4;34.56;ENTREGUE;444.41;33.61326989068955;08:18:54;14:50:38;
947;2022-04-30;859;1924;34;1;10.58;ENTREGUE;282.56;10.05001775581822;14:27:43;02:58:35;
1430;2022-07-04;1663;373;93;1;45.67;ATRASADO;306.76;43.904696958929584;00:44:35;11:16:16;Trânsito
1194;2022-09-02;755;774;77;2;13.57;ATRASADO;479.34;13.154158352879248;13:53:45;02:26:34;Trânsito
1997;2023-11-14;1238;1876;36;2;18.6;ATRASADO;315.11;17.3274492929622;08:06:16;06:14:41;Manutenção
1186;2025-03-16;680;1742;95;4;8.06;ENTREGUE;302.68;7.481532823405874;01:40:59;16:02:32;
58;2025-08-28;478;1055;56;3;39.34;ENTREGUE;426.86;35.56696303956432;09:02:21;19:28:57;
42;2021-07-07;1918;2461;64;4;47.21;ATRASADO;280.7;47.8032324058194;13:36:27;07:13:51;Manutenção
872;2024-08-17;933;192;47;2;15.91;ENTREGUE;335.98;16.665068134957995;08:02:28;00:38:33;
125;2022-01-20;1568;1088;18;1;20.81;ENTREGUE;296.93;19.93616665146356;01:30:27;03:16:40;
705;2025-04-03;1335;737;40;4;13.46;ENTREGUE;479.39;12.541364048906273;20:33:13;03:17:56;
1094;2023-11-23;460;405;59;4;30.43;ATRASADO;352.62;29.88752571558815;11:54:05;19:44:21;Trânsito
474;2021-09-08;1008;1355;62;4;30.23;ENTREGUE;293.19;30.888138955345493;21:50:42;18:15:08;
1850;2022-08-09;303;1961;44;2;21.05;ENTREGUE;350.43;21.54983546672367;04:29:18;11:12:13;
1092;2021-12-21;361;1859;45;2;37.61;ENTREGUE;298.57;38.37362504011364;18:00:47;21:15:34;
24;2022-08-01;1466;657;10;3;26.34;ENTREGUE;459.34;25.675834420094716;23:08:22;00:18:25;
482;2024-12-10;129;707;65;3;14.87;ATRASADO;342.13;14.149986060161238;05:12:36;04:49:44;Manutenção
1195;2022-11-24;1697;1631;28;4;15.31;ENTREGUE;455.84;14.84654336705447;20:45:49;00:04:12;
1089;2022-10-01;906;1655;76;1;9.83;ENTREGUE;349.33;8.957478642622739;06:12:17;14:35:03;
755;2024-02-26;588;1463;6;3;5.74;ATRASADO;461.83;5.187184987919641;20:08:13;18:17:46;Clima
891;2021-02-22;42;13;56;1;6.35;ENTREGUE;387.63;6.256719983750791;05:13:49;17:46:19;
1876;2023-07-04;142;298;95;4;16.35;ATRASADO;298.68;17.05174410162778;10:03:51;01:11:57;Trânsito
1315;2025-06-23;1157;475;96;4;49.75;ATRASADO;285.98;51.84881159789059;16:02:10;15:35:47;Trânsito
1861;2022-09-25;1174;1492;75;2;23.86;ENTREGUE;498.03;23.384481648824867;02:24:59;22:01:09;
1408;2021-02-26;234;713;37;1;21.2;ENTREGUE;441.9;21.14878934520586;16:30:13;13:12:41;
489;2024-04-07;635;931;5;2;24.4;ENTREGUE;391.88;23.668842364574232;08:41:01;19:05:20;
256;2022-10-14;1230;1120;72;3;36.79;ENTREGUE;321.42;35.6208678367529;20:22:27;11:48:42;
1234;2021-02-05;818;1408;23;2;29.28;ATRASADO;320.35;30.601595418346164;11:46:35;04:54:47;Clima
912;2023-10-14;250;2985;4;4;42.88;ENTREGUE;337.41;42.53928953773753;17:50:24;17:07:45;
279;2025-02-14;875;2834;74;3;48.29;ATRASADO;311.85;44.858933180578994;15:29:47;23:41:15;Clima
1796;2024-10-27;1537;1982;69;3;44.54;ATRASADO;437.21;44.432979583383755;22:45:48;21:56:01;Manutenção
496;2025-01-24;1524;526;68;2;23.63;ENTREGUE;435.83;24.531722043247836;20:35:04;15:00:32;
1064;2023-07-22;135;2014;63;4;42.46;ENTREGUE;358.71;41.67585727996224;13:05:32;11:38:47;
1902;2022-09-15;1311;862;31;1;18.16;ATRASADO;407.4;17.11709551926631;05:00:55;22:54:15;Clima
1834;2023-08-01;1043;2378;5;3;36.88;ENTREGUE;302.64;36.84371513941186;01:56:00;09:07:27;
71;2025-02-20;1605;1172;63;3;24.13;ENTREGUE;372.44;23.019949171785846;13:48:25;23:56:13;
1018;2022-05-05;1632;79;47;2;44.0;ENTREGUE;361.02;46.189081561509795;16:24:16;06:30:52;
1431;2022-03-26;1368;2478;9;3;13.15;ATRASADO;329.89;13.64925082085861;20:41:05;14:02:58;Manutenção
1828;2024-08-23;1063;2957;86;2;42.99;ENTREGUE;355.9;41.0766264354886;08:51:31;19:44:58;
133;2024-08-25;1185;67;12;1;47.48;ENTREGUE;438.85;43.775160620997035;00:11:51;12:18:23;
730;2021-05-13;1728;2507;10;1;23.4;ENTREGUE;483.15;23.801125174003737;11:51:18;03:03:00;
122;2023-10-20;1748;669;21;2;41.43;ENTREGUE;290.08;41.072376628064866;07:52:01;23:54:07;
1519;2024-06-06;1804;177;35;2;16.23;ENTREGUE;486.93;14.703966749699564;04:41:15;23:42:11;
1707;2024-02-15;1813;923;28;2;43.87;ENTREGUE;462.79;43.14616166695922;00:20:11;17:50:10;
1810;2023-12-17;554;657;1;3;23.52;ATRASADO;495.74;23.181363266823688;21:02:36;04:36:04;Clima
417;2022-10-14;1296;2473;98;1;33.43;ENTREGUE;439.48;31.145275790121804;12:33:02;05:40:38;
1794;2022-05-22;1599;618;80;2;13.9;ENTREGUE;447.91;14.13528306014312;20:41:13;09:15:52;
56;2024-05-22;318;2459;14;4;47.24;ENTREGUE;449.24;45.94742532341344;13:07:20;06:21:10;
642;2022-04-30;114;265;75;2;11.51;ENTREGUE;408.2;11.076897421544615;16:14:07;11:25:50;
1326;2024-01-17;1796;639;84;2;14.6;ENTREGUE;457.49;13.729430667575986;18:15:21;06:18:56;
1240;2023-11-24;822;1003;28;2;25.5;ENTREGUE;400.38;23.52165383026704;22:27:52;05:20:36;
589;2021-06-12;428;735;23;1;12.79;ATRASADO;395.66;11.548687306173932;11:11:05;01:07:22;Manutenção
104;2025-07-09;1032;258;27;1;40.96;ENTREGUE;472.6;39.257013910480886;09:11:38;21:48:46;
559;2025-08-05;1326;65;9;3;42.28;ENTREGUE;459.58;40.64514854237309;02:51:39;02:32:53;
1761;2021-10-23;1592;1039;39;3;20.73;ATRASADO;456.74;20.95272367267399;00:35:39;15:04:08;Manutenção
911;2021-11-28;637;2104;41;3;13.58;ENTREGUE;475.87;13.74601380250133;04:46:22;12:33:09;
1896;2022-12-08;18;1329;3;4;33.36;ATRASADO;356.55;34.898651918379514;13:15:40;17:13:03;Manutenção
1040;2021-03-22;1913;254;63;1;45.34;ENTREGUE;419.3;41.600504412461724;12:53:53;22:43:37;
994;2024-08-18;1472;2962;62;3;9.48;ENTREGUE;295.45;8.61005239365444;01:12:52;20:13:21;
377;2021-07-04;1128;983;98;4;13.24;ENTREGUE;331.56;12.516725636460329;13:48:47;05:41:20;
1725;2022-05-15;1079;2493;47;2;18.91;ENTREGUE;447.05;17.177586358367588;17:30:20;13:28:51;
1668;2023-07-24;1105;711;42;1;41.45;ENTREGUE;434.96;37.98508002909298;20:32:05;05:00:34;
985;2024-04-10;406;1196;46;2;31.84;ATRASADO;329.94;29.06250697594297;03:45:44;04:21:50;Clima
1712;2021-12-29;1170;429;26;4;40.75;ENTREGUE;436.9;39.67596661075502;22:29:28;11:44:40;
120;2025-08-22;535;1047;89;2;23.57;ENTREGUE;345.28;22.961892793269108;11:07:10;04:03:11;
181;2024-07-04;1329;1550;11;2;48.03;ENTREGUE;341.66;47.076383567492876;21:13:00;09:59:58;
422;2021-12-10;922;2953;92;2;37.44;ENTREGUE;477.11;34.58856978856888;09:38:17;23:13:34;
842;2025-01-12;1700;335;97;2;11.18;ATRASADO;493.32;11.488014884443007;06:32:19;21:36:40;Trânsito
1440;2023-12-02;1436;81;98;3;32.84;ENTREGUE;484.77;29.587109283913268;23:49:42;21:20:38;
277;2023-04-23;1430;1908;77;2;24.12;ENTREGUE;486.37;24.622587419785404;16:51:51;03:07:22;
1137;2023-02-12;161;1730;98;3;49.01;ENTREGUE;290.31;44.38989968563895;09:12:46;00:26:07;
1641;2023-12-10;354;1436;36;4;45.14;ATRASADO;370.56;41.4385095122126;23:30:52;23:04:38;Clima
1479;2022-08-18;370;1674;18;3;48.15;ENTREGUE;479.88;46.54276238278995;00:17:27;04:29:05;
677;2025-08-02;586;1937;30;2;30.37;ENTREGUE;476.95;30.67573655182405;01:30:46;00:57:44;
1633;2021-02-21;931;9;69;2;24.51;ENTREGUE;293.59;24.318886357919517;03:46:04;19:45:22;
653;2022-11-20;1528;1092;48;2;22.03;ENTREGUE;469.75;20.473657884924;08:28:08;03:04:28;
35;2024-01-16;1135;1948;36;3;9.37;ENTREGUE;370.38;8.685405645524206;08:02:11;08:00:28;
1995;2023-03-10;1173;2325;60;2;45.48;ENTREGUE;364.67;46.67911268284747;23:50:01;14:29:35;
1324;2021-05-14;1537;2574;51;3;17.02;ENTREGUE;486.79;17.669913249217974;13:51:49;05:38:02;
612;2021-12-17;1064;217;73;4;39.94;ENTREGUE;450.77;37.31691129368859;13:18:52;12:13:04;
921;2021-08-25;1470;757;33;4;45.23;ATRASADO;446.2;46.90811744248217;08:06:32;04:36:17;Clima
1107;2025-07-25;1421;2355;77;4;50.0;ATRASADO;431.93;45.175408810912174;00:48:07;21:22:16;Clima
935;2025-06-07;1328;2465;51;2;16.35;ENTREGUE;325.93;15.258536133621394;17:12:56;10:32:50;
1490;2024-04-10;1151;2851;33;2;6.72;ATRASADO;318.31;6.670238245828012;23:20:43;17:34:25;Manutenção
867;2021-11-27;261;2190;98;4;5.51;ENTREGUE;398.93;5.020084488212105;00:24:47;13:08:45;
734;2021-07-17;1730;1786;25;4;18.69;ENTREGUE;386.46;16.90025741954723;09:09:39;00:56:33;
1350;2025-06-06;354;2172;8;4;45.28;ENTREGUE;364.55;45.354267768184926;13:43:27;15:04:30;
1356;2022-11-20;1764;303;78;1;47.32;ENTREGUE;453.98;48.30669518753097;12:54:11;21:55:12;
699;2025-05-12;429;369;72;4;11.26;ENTREGUE;359.86;11.295299534816987;16:03:49;11:39:24;
250;2023-10-11;331;80;74;3;6.54;ENTREGUE;460.45;6.01943027772426;20:13:35;21:14:55;
170;2025-08-10;1658;850;66;4;44.49;ENTREGUE;450.8;40.51045097614748;19:24:38;04:00:48;
94;2023-01-26;585;695;78;4;45.68;ENTREGUE;416.71;46.367851884535185;16:32:28;13:42:50;
620;2023-02-24;481;750;18;4;48.42;ENTREGUE;499.51;48.55072347448603;19:13:22;08:21:19;
48;2022-03-22;1773;187;49;1;24.45;ENTREGUE;453.82;23.741419188004905;13:50:30;21:29:02;
813;2023-11-18;1928;1069;65;3;32.27;ENTREGUE;368.43;32.64441055981615;21:51:33;18:01:45;
1460;2024-01-11;803;2260;100;4;24.41;ENTREGUE;369.4;23.585497085427328;02:22:13;01:43:53;
1549;2023-06-07;1021;2522;27;3;42.53;ENTREGUE;392.61;43.02231810289659;08:08:05;01:21:03;
1176;2024-08-05;181;2511;25;2;39.21;ENTREGUE;321.47;39.233539495697116;16:14:09;22:41:18;
735;2024-12-30;849;931;43;3;30.31;ENTREGUE;437.64;27.31231640311864;21:33:53;13:28:43;
628;2022-01-08;1805;2354;62;1;35.96;ENTREGUE;430.77;34.476968459146875;10:39:50;19:09:38;
1884;2025-01-01;1912;2782;67;3;30.96;ENTREGUE;437.57;32.13329780046298;01:27:23;07:57:45;
983;2022-01-31;1189;2722;70;4;42.79;ENTREGUE;300.3;42.72461460119625;23:03:45;03:57:13;
203;2023-09-29;1026;2973;57;4;22.03;ENTREGUE;366.49;20.796700325865345;17:30:50;06:03:01;
346;2022-06-15;1738;2180;88;1;13.4;ENTREGUE;426.49;12.643969683834197;23:07:22;05:58:39;
245;2023-01-15;314;612;87;1;26.23;ENTREGUE;303.79;27.3141694472204;10:44:21;21:32:03;
1665;2025-04-27;715;2427;100;2;32.56;ENTREGUE;291.65;31.27341632904565;13:58:46;19:59:24;
1899;2021-10-17;1598;1734;72;4;48.06;ATRASADO;339.29;46.02505529934621;21:28:16;09:45:24;Manutenção
861;2021-11-13;1371;2046;18;1;7.76;ATRASADO;472.58;7.789452237558046;05:58:30;11:53:24;Manutenção
1708;2024-03-17;953;187;23;4;39.86;ENTREGUE;465.8;36.96442095929958;15:20:13;20:30:26;
1259;2025-09-01;1456;2692;77;4;6.19;ENTREGUE;311.31;6.3996646523498315;20:58:22;04:19:51;
490;2024-02-15;1461;323;91;2;38.09;ENTREGUE;386.74;37.958963897529095;14:46:38;06:02:27;
931;2023-03-28;1633;813;71;4;15.16;ENTREGUE;377.59;15.859060050597165;10:20:09;14:48:40;
483;2022-05-18;1924;1797;61;4;21.8;ENTREGUE;344.24;20.24647911930201;23:33:50;00:18:40;
394;2023-01-14;12;2355;64;1;34.47;ENTREGUE;298.13;36.18995907332759;23:21:29;00:27:28;
236;2021-10-29;1607;1502;57;1;7.14;ENTREGUE;385.11;7.248585115406083;19:05:32;07:46:09;
607;2024-09-11;1428;2157;50;4;44.62;ENTREGUE;337.78;40.5878747827434;22:06:02;04:43:02;
313;2021-02-18;1687;1760;88;3;12.36;ENTREGUE;415.24;12.761499969508728;09:04:55;00:47:38;
361;2021-11-18;801;2994;74;3;24.83;ENTREGUE;473.36;23.890483894491386;12:49:08;04:27:32;
1754;2025-05-26;334;1654;27;1;29.06;ATRASADO;421.49;27.696272518475165;18:46:27;21:58:37;Manutenção
1341;2025-06-21;805;1701;33;4;14.21;ENTREGUE;422.38;12.92367015044238;17:35:48;16:09:44;
440;2024-01-19;474;205;15;2;47.99;ENTREGUE;346.4;47.38635109743142;06:19:50;16:47:39;
1900;2025-02-03;1932;2201;42;2;36.85;ATRASADO;320.24;33.81934140295023;22:41:27;16:36:15;Manutenção
764;2024-12-05;1551;1336;62;3;27.54;ENTREGUE;472.19;24.806432876284052;18:43:09;00:19:43;
1364;2021-09-11;848;44;33;1;27.64;ENTREGUE;419.1;27.65645198574282;08:54:58;12:35:36;
1506;2022-11-05;1723;1431;53;2;9.65;ENTREGUE;373.58;9.376953174893808;09:55:30;16:45:44;
380;2021-11-29;1502;1180;80;1;5.97;ENTREGUE;336.56;5.750670223441901;09:33:14;03:13:43;
1711;2025-08-25;517;849;63;4;18.56;ENTREGUE;437.69;19.341197370856985;20:38:32;04:48:57;
910;2023-05-30;345;2979;36;4;15.19;ENTREGUE;282.99;15.813705735142726;09:06:14;11:59:34;
1744;2023-01-27;1146;2470;97;4;11.62;ENTREGUE;298.35;11.546719770715823;05:43:29;09:18:18;
961;2022-06-12;74;1411;94;1;23.22;ENTREGUE;469.97;23.611433818392566;05:21:30;22:38:07;
444;2021-02-28;515;2011;72;4;7.93;ENTREGUE;358.18;7.6664417262066795;03:46:11;06:45:16;
657;2024-03-12;1173;1110;85;2;48.63;ENTREGUE;434.78;49.01598597890558;02:55:29;04:46:40;
1302;2021-10-25;1171;648;51;1;32.69;ENTREGUE;440.71;29.42134868464607;07:59:08;12:22:44;
1474;2022-11-19;1085;2813;1;4;5.89;ENTREGUE;365.19;5.441458853238683;05:00:31;17:24:11;
1406;2021-11-06;310;881;37;4;16.79;ENTREGUE;484.5;16.609535206887408;00:43:02;14:05:21;
1958;2023-10-17;747;2178;40;2;11.24;ENTREGUE;469.39;10.841758586104056;03:47:54;20:52:06;
460;2024-09-18;1059;2677;66;3;46.82;ENTREGUE;288.02;46.56470822417967;07:05:32;21:53:13;
967;2024-11-02;1924;1578;30;3;19.56;ENTREGUE;414.02;19.862132406039635;21:18:12;15:54:55;
822;2024-09-11;1057;1295;61;4;44.57;ENTREGUE;456.67;46.32392799552704;00:39:42;14:27:56;
1258;2025-01-24;171;865;5;1;47.21;ENTREGUE;290.93;46.54347058197696;04:07:16;20:02:59;
1083;2023-10-07;1724;777;60;2;17.44;ENTREGUE;282.45;16.802114843079327;22:29:55;00:34:05;
1718;2024-01-09;1454;2016;87;2;11.38;ENTREGUE;423.17;10.317611181064445;01:54:33;13:07:27;
1520;2022-09-26;282;1985;17;2;43.47;ENTREGUE;308.77;39.5585464815333;16:42:18;08:16:27;
896;2023-02-10;1689;2682;55;1;25.73;ENTREGUE;444.66;25.46984390175559;15:00:31;01:23:14;
1164;2024-04-15;379;445;70;3;26.91;ENTREGUE;478.14;25.234738817224716;18:06:40;00:47:36;
1180;2024-10-22;520;2200;65;1;25.48;ENTREGUE;298.76;25.712940608278338;08:58:29;07:22:17;
31;2021-03-25;74;505;40;1;29.3;ENTREGUE;342.82;26.526661752010057;05:32:25;07:24:45;
327;2025-06-16;1970;1261;17;3;44.19;ENTREGUE;454.26;41.965897259106306;14:39:26;02:42:38;
388;2024-09-03;1316;1006;18;2;45.46;ENTREGUE;314.29;42.633575685380364;13:06:19;18:52:50;
775;2024-02-23;1406;30;32;4;47.41;ATRASADO;422.31;44.556075152623094;02:17:13;08:18:23;Clima
1025;2021-02-11;580;2004;40;2;38.35;ENTREGUE;342.52;38.11300077432039;08:36:40;09:37:25;
1051;2023-09-16;792;473;81;4;47.98;ATRASADO;410.62;44.11285712118059;22:19:43;21:39:27;Manutenção
1854;2021-04-08;1025;2171;26;3;5.66;ENTREGUE;489.02;5.513747685746206;12:49:59;20:22:25;
226;2021-04-07;1555;674;24;4;36.63;ENTREGUE;461.78;34.038916559487596;16:01:43;11:35:36;
1634;2024-11-03;1418;2824;14;1;27.88;ENTREGUE;400.96;28.152171421203228;04:19:13;09:36:32;
291;2022-09-20;1293;1483;28;2;5.33;ENTREGUE;378.8;5.389648334753844;07:55:38;10:43:43;
1505;2021-12-19;957;2325;94;3;29.54;ENTREGUE;311.17;30.84630727320877;04:03:14;03:54:02;
251;2021-03-09;744;1641;65;2;18.63;ENTREGUE;353.14;19.54393304003469;03:12:02;14:33:53;
442;2022-06-13;1287;1161;33;1;21.35;ENTREGUE;310.21;20.829061996772545;00:06:57;14:49:50;
1140;2022-11-06;169;1924;96;2;5.22;ATRASADO;294.97;4.961990437864969;19:26:03;20:13:10;Trânsito
678;2023-03-15;1252;743;74;1;13.78;ENTREGUE;363.83;13.510816778189191;18:50:22;13:00:54;
286;2024-06-28;1566;753;84;3;43.68;ENTREGUE;290.02;44.88533981344981;04:50:36;03:47:55;
7;2022-07-13;51;2572;27;1;32.02;ENTREGUE;485.45;31.76543828581711;06:04:29;05:35:12;
784;2022-06-26;659;936;93;2;19.26;ENTREGUE;411.46;17.499943222650096;12:06:07;11:50:36;
