PEDIDO_ID;DATA_PEDIDO;CLIENTE_ID;OBRA_ID;USINA_ID;TIPOCONCRETO_ID;M3_PEDIDO;STATUS;PRECO_UNITARIO
85;2021-06-28;504;1908;35;3;27.38;CONFIRMADO;461.15
86;2025-02-12;734;461;92;2;32.4;CONFIRMADO;472.89
87;2022-02-20;65;1431;25;4;25.15;CONFIRMADO;302.88
88;2023-10-13;205;565;27;1;45.01;CONFIRMADO;379.06
89;2023-03-30;454;1102;26;2;15.53;CONFIRMADO;323.58
90;2022-08-05;617;1455;38;4;16.44;CONFIRMADO;416.56
91;2023-03-07;647;853;21;2;46.62;CONFIRMADO;449.18
92;2023-11-05;431;717;19;3;47.05;CANCELADO;478.23
93;2023-09-04;476;1585;66;1;28.14;CONFIRMADO;348.26
94;2023-01-26;585;695;78;4;45.68;CONFIRMADO;416.71
95;2023-08-01;919;2197;67;1;27.49;CONFIRMADO;439.5
96;2024-10-14;1687;2260;52;2;22.29;CONFIRMADO;319.84
97;2022-03-04;1685;1854;69;4;16.07;CONFIRMADO;471.66
98;2025-08-27;1161;1728;81;1;29.42;CONFIRMADO;483.66
99;2022-01-13;853;1098;28;2;21.02;CONFIRMADO;443.6
100;2023-03-09;991;2060;43;4;41.83;CONFIRMADO;492.43
101;2023-07-12;590;2468;15;3;9.47;CONFIRMADO;302.36
102;2021-04-03;711;1974;17;2;34.36;CONFIRMADO;313.61
103;2024-12-25;1700;1657;16;3;22.01;CONFIRMADO;404.73
104;2025-07-09;1032;258;27;1;40.96;CONFIRMADO;472.6
105;2023-08-29;1641;2196;19;4;35.3;CONFIRMADO;337.28
106;2024-07-15;835;243;82;4;40.42;CANCELADO;345.74
107;2021-04-23;1021;895;31;2;22.3;CONFIRMADO;423.28
108;2024-04-25;152;1620;63;1;38.66;CONFIRMADO;388.17
109;2021-05-15;425;755;11;1;44.92;CONFIRMADO;350.79
110;2021-10-15;907;1838;62;2;39.7;CONFIRMADO;420.12
111;2024-07-08;1969;337;86;1;10.22;CONFIRMADO;411.02
112;2021-05-23;37;149;71;4;26.36;CONFIRMADO;449.04
113;2024-04-07;979;234;51;3;26.54;CONFIRMADO;392.21
114;2022-03-20;770;505;90;2;49.21;CANCELADO;308.75
115;2024-10-06;1578;138;52;2;28.16;CONFIRMADO;486.9
116;2021-05-05;27;2524;70;4;18.15;CONFIRMADO;374.29
117;2021-01-23;388;2292;71;4;26.84;CONFIRMADO;437.0
118;2022-01-08;1234;682;29;1;33.43;CONFIRMADO;343.93
119;2021-03-30;964;1989;11;3;47.93;CONFIRMADO;366.15
120;2025-08-22;535;1047;89;2;23.57;CONFIRMADO;345.28
121;2024-10-23;1124;2673;48;3;32.96;CONFIRMADO;439.81
122;2023-10-20;1748;669;21;2;41.43;CONFIRMADO;290.08
123;2025-02-19;1940;502;83;2;38.75;CONFIRMADO;479.53
124;2025-03-06;953;2225;24;1;47.45;CONFIRMADO;323.85
125;2022-01-20;1568;1088;18;1;20.81;CONFIRMADO;296.93
126;2025-01-15;813;1787;59;1;6.09;CONFIRMADO;417.01
127;2024-07-27;336;670;15;1;41.48;CONFIRMADO;410.42
128;2021-09-17;782;2492;13;4;39.21;CONFIRMADO;287.53
129;2021-12-13;214;1538;13;3;9.09;CONFIRMADO;369.84
130;2021-11-03;1549;1246;71;2;24.69;CONFIRMADO;390.64
131;2021-07-01;30;2569;29;1;23.35;CONFIRMADO;477.81
132;2021-02-02;1096;2428;2;2;23.06;CONFIRMADO;398.89
133;2024-08-25;1185;67;12;1;47.48;CONFIRMADO;438.85
134;2023-06-28;1389;1228;44;2;12.51;CONFIRMADO;302.03
135;2022-10-03;486;899;99;3;14.27;CONFIRMADO;383.5
136;2024-08-18;1928;595;11;1;30.57;CONFIRMADO;456.4
137;2025-02-13;315;2141;77;2;31.8;CONFIRMADO;469.52
138;2022-06-11;1304;222;91;2;21.59;CONFIRMADO;406.62
139;2022-09-27;784;1666;73;3;39.74;CANCELADO;339.07
140;2024-11-17;775;1176;93;4;28.53;CONFIRMADO;378.38
141;2022-01-23;370;722;55;1;38.66;CONFIRMADO;472.87
142;2021-09-13;1146;1043;80;1;9.76;CONFIRMADO;363.99
143;2021-09-21;826;801;82;2;43.75;CONFIRMADO;299.02
144;2023-01-23;1932;371;88;3;18.9;CONFIRMADO;406.81
145;2022-09-05;1969;350;58;1;9.31;CONFIRMADO;367.09
146;2023-07-02;1850;828;81;2;31.3;CONFIRMADO;490.03
147;2023-06-19;1468;932;91;4;8.43;CONFIRMADO;343.87
148;2025-04-04;788;148;6;3;12.56;CONFIRMADO;382.91
149;2023-03-23;538;1593;100;2;22.08;CONFIRMADO;307.91
150;2025-07-18;283;1997;76;1;11.3;CONFIRMADO;422.64
151;2022-01-03;902;1347;25;3;6.11;CONFIRMADO;413.54
152;2025-01-23;194;1025;63;2;25.81;CONFIRMADO;368.87
153;2022-08-09;1443;551;70;4;28.1;CONFIRMADO;366.61
154;2024-04-02;1375;383;93;4;14.86;CONFIRMADO;349.01
155;2021-10-12;364;576;61;3;30.65;CONFIRMADO;452.2
156;2022-11-09;905;2059;79;3;31.23;CONFIRMADO;458.5
157;2024-05-03;1176;2044;51;4;35.5;CONFIRMADO;469.9
158;2022-09-19;243;916;91;2;27.12;CONFIRMADO;295.34
159;2024-02-23;323;465;42;2;16.49;CANCELADO;439.97
160;2021-09-28;660;1192;86;3;47.15;CANCELADO;364.92
161;2023-09-12;219;590;84;1;24.92;CONFIRMADO;409.94
162;2023-02-07;1231;2832;94;4;31.84;CONFIRMADO;401.45
163;2023-01-13;973;2446;36;1;46.62;CONFIRMADO;478.91
164;2024-11-16;805;1806;78;3;34.3;CONFIRMADO;389.53
165;2024-01-24;1659;1748;36;4;21.5;CONFIRMADO;292.6
166;2022-11-20;176;2591;71;4;49.9;CONFIRMADO;354.16
167;2021-04-16;867;16;5;3;33.19;CONFIRMADO;328.76
168;2022-07-05;1062;818;68;2;8.5;CONFIRMADO;463.04
169;2024-09-02;1112;527;44;1;34.48;CONFIRMADO;325.25
170;2025-08-10;1658;850;66;4;44.49;CONFIRMADO;450.8
171;2021-05-09;71;689;59;1;13.74;CONFIRMADO;482.05
172;2021-09-01;508;2912;91;4;38.39;CANCELADO;455.18
173;2023-05-03;1985;33;69;3;49.27;CONFIRMADO;384.63
174;2024-08-26;1663;430;46;1;34.66;CANCELADO;445.91
175;2024-01-17;1775;2949;64;1;39.67;CONFIRMADO;403.63
176;2025-05-02;320;997;53;1;18.69;CONFIRMADO;362.15
177;2021-12-17;745;1708;3;4;30.39;CONFIRMADO;391.17
178;2021-02-16;517;2114;91;1;15.91;CONFIRMADO;389.64
179;2022-11-08;443;682;58;4;15.81;CANCELADO;308.01
180;2024-05-15;1606;2611;2;2;39.31;CONFIRMADO;334.83
181;2024-07-04;1329;1550;11;2;48.03;CONFIRMADO;341.66
182;2023-02-12;1738;521;35;3;20.05;CONFIRMADO;485.67
183;2023-07-03;1131;2583;66;3;24.53;CONFIRMADO;387.3
184;2022-03-09;1943;813;64;2;6.28;CONFIRMADO;463.18
185;2022-11-11;237;433;22;3;14.23;CONFIRMADO;426.34
186;2021-09-28;1981;2386;44;3;9.19;CONFIRMADO;364.21
187;2024-03-04;1132;1560;90;2;46.35;CONFIRMADO;332.24
188;2021-03-30;824;2287;84;4;41.15;CONFIRMADO;287.58
189;2022-01-04;479;1068;78;1;37.98;CONFIRMADO;429.19
190;2021-09-19;1981;906;43;1;38.84;CANCELADO;337.82
191;2022-05-04;1884;1857;21;3;7.31;CONFIRMADO;397.09
192;2024-05-20;904;1074;8;4;16.0;CONFIRMADO;304.2
193;2022-09-10;1930;1582;97;2;5.71;CONFIRMADO;387.09
194;2025-03-13;1228;477;82;3;44.45;CONFIRMADO;361.74
195;2023-09-14;1558;213;88;3;35.8;CANCELADO;461.69
196;2022-07-24;106;645;37;2;8.27;CONFIRMADO;446.3
197;2024-06-26;1315;739;39;1;18.46;CONFIRMADO;417.75
198;2025-08-17;67;1234;98;2;26.08;CONFIRMADO;458.55
199;2021-05-03;592;441;21;4;23.26;CONFIRMADO;333.31
200;2024-05-02;1607;645;75;1;12.15;CONFIRMADO;303.41
201;2021-01-18;1886;2262;59;1;45.15;CONFIRMADO;285.31
202;2025-04-09;900;2008;49;4;15.88;CANCELADO;447.02
203;2023-09-29;1026;2973;57;4;22.03;CONFIRMADO;366.49
204;2024-02-15;1910;2155;5;2;12.22;CONFIRMADO;390.97
205;2024-08-01;495;2539;42;2;43.77;CANCELADO;426.73
206;2022-08-03;1649;676;3;2;40.44;CONFIRMADO;473.05
207;2024-08-18;1153;1141;89;3;15.48;CONFIRMADO;417.3
208;2023-11-08;492;38;71;4;27.83;CANCELADO;487.84
209;2025-05-26;1512;927;25;3;10.16;CONFIRMADO;362.69
210;2021-04-09;769;968;1;4;41.77;CONFIRMADO;378.0
211;2023-01-04;1689;662;26;1;32.43;CONFIRMADO;418.47
212;2023-03-27;1805;528;90;2;16.33;CANCELADO;428.36
213;2024-05-16;1453;2531;77;1;33.85;CONFIRMADO;364.53
214;2022-09-18;707;2375;80;2;38.22;CONFIRMADO;395.92
215;2024-12-08;1289;653;95;1;12.75;CONFIRMADO;496.59
216;2024-12-11;748;1148;21;4;37.35;CONFIRMADO;392.99
217;2025-02-19;166;1718;64;4;19.64;CONFIRMADO;313.22
218;2021-07-23;805;282;25;2;40.65;CONFIRMADO;289.42
219;2024-11-02;1573;231;46;4;40.56;CANCELADO;387.9
220;2025-07-10;1491;48;60;3;7.63;CONFIRMADO;454.01
221;2021-07-03;1910;1844;7;2;19.77;CONFIRMADO;337.67
222;2025-04-08;1924;2947;93;1;42.72;CONFIRMADO;335.98
223;2024-06-15;1187;343;44;1;15.16;CONFIRMADO;411.2
224;2021-12-26;1963;1790;38;4;13.79;CONFIRMADO;349.22
225;2022-06-16;1098;83;5;4;12.62;CONFIRMADO;297.33
226;2021-04-07;1555;674;24;4;36.63;CONFIRMADO;461.78
227;2023-02-03;1819;2381;2;1;6.3;CONFIRMADO;425.45
228;2021-09-23;1743;379;54;2;33.11;CONFIRMADO;319.45
229;2021-09-15;1346;1672;58;3;25.71;CONFIRMADO;422.58
230;2024-09-04;715;798;40;1;8.01;CONFIRMADO;444.23
231;2022-10-05;474;794;27;1;20.38;CONFIRMADO;419.16
232;2023-08-22;1424;1869;25;4;31.51;CONFIRMADO;383.95
233;2021-10-20;1800;230;60;3;41.4;CONFIRMADO;357.22
234;2021-11-15;421;1837;59;2;28.39;CONFIRMADO;483.24
235;2023-12-18;584;2053;35;3;22.01;CONFIRMADO;291.18
236;2021-10-29;1607;1502;57;1;7.14;CONFIRMADO;385.11
237;2024-08-15;1965;2910;1;4;24.96;CONFIRMADO;334.42
238;2023-02-11;967;1327;8;1;13.1;CONFIRMADO;356.51
239;2023-08-09;303;2553;22;2;9.96;CONFIRMADO;329.22
240;2021-05-30;981;913;92;3;17.88;CONFIRMADO;353.9
241;2025-04-04;1218;964;91;2;10.23;CONFIRMADO;469.08
242;2023-10-08;138;2206;91;1;30.14;CONFIRMADO;287.21
243;2022-02-24;819;913;58;2;12.23;CONFIRMADO;469.68
244;2024-09-26;556;2240;37;2;24.74;CANCELADO;405.23
245;2023-01-15;314;612;87;1;26.23;CONFIRMADO;303.79
246;2021-01-17;1683;2076;34;3;9.51;CONFIRMADO;395.86
247;2021-11-17;1818;2852;41;3;10.47;CONFIRMADO;318.75
248;2021-06-06;515;941;20;2;35.44;CANCELADO;344.34
249;2023-10-19;1022;2230;36;1;25.46;CONFIRMADO;387.9
250;2023-10-11;331;80;74;3;6.54;CONFIRMADO;460.45
251;2021-03-09;744;1641;65;2;18.63;CONFIRMADO;353.14
252;2025-01-27;683;856;39;4;27.15;CONFIRMADO;488.78
253;2023-09-08;107;115;4;4;17.23;CONFIRMADO;406.23
254;2023-10-21;1693;1818;77;1;14.59;CONFIRMADO;306.55
255;2023-08-23;1358;1011;71;3;41.87;CONFIRMADO;464.38
256;2022-10-14;1230;1120;72;3;36.79;CONFIRMADO;321.42
257;2021-03-13;720;193;32;1;37.37;CONFIRMADO;345.09
258;2022-06-10;1822;1790;59;2;34.16;CANCELADO;448.53
259;2021-03-09;1732;2434;31;2;40.49;CONFIRMADO;288.73
260;2025-07-24;1623;850;1;2;39.03;CONFIRMADO;414.79
261;2025-02-02;1661;1130;25;4;40.76;CONFIRMADO;403.06
262;2023-01-16;957;763;12;2;14.59;CANCELADO;339.09
263;2025-01-20;660;1826;30;3;15.31;CONFIRMADO;370.71
264;2021-10-28;1059;411;84;3;27.53;CONFIRMADO;493.03
265;2023-04-01;246;1588;78;4;32.44;CANCELADO;428.16
266;2024-09-17;1276;77;47;4;42.79;CONFIRMADO;385.89
267;2022-04-20;836;2183;1;1;10.72;CONFIRMADO;494.6
268;2022-10-05;410;624;53;3;8.04;CANCELADO;451.34
269;2025-06-17;343;1926;26;2;19.55;CONFIRMADO;418.07
270;2022-06-07;726;2927;29;1;25.04;CONFIRMADO;413.64
271;2024-08-13;370;1626;44;3;41.28;CONFIRMADO;418.85
272;2022-08-06;86;2397;32;3;38.37;CONFIRMADO;284.86
273;2023-06-14;332;1948;56;1;6.55;CONFIRMADO;462.64
274;2024-11-18;524;250;69;4;37.68;CONFIRMADO;350.32
275;2025-07-04;456;585;6;1;35.92;CONFIRMADO;308.95
276;2023-11-17;1954;581;93;2;27.59;CONFIRMADO;454.32
277;2023-04-23;1430;1908;77;2;24.12;CONFIRMADO;486.37
278;2023-02-05;188;768;93;1;32.55;CONFIRMADO;495.3
279;2025-02-14;875;2834;74;3;48.29;CONFIRMADO;311.85
280;2024-02-05;1739;2831;75;4;25.68;CONFIRMADO;454.83
281;2021-11-25;1176;983;57;2;35.07;CONFIRMADO;343.05
282;2024-06-16;63;2273;90;2;7.41;CONFIRMADO;306.72
283;2021-04-08;805;1841;45;1;42.98;CONFIRMADO;497.43
284;2021-09-25;751;856;93;4;33.12;CONFIRMADO;301.64
285;2023-01-26;1088;2146;79;3;12.54;CONFIRMADO;374.69
286;2024-06-28;1566;753;84;3;43.68;CONFIRMADO;290.02
287;2021-04-02;152;1860;64;2;36.46;CONFIRMADO;312.44
288;2021-05-04;447;640;25;3;33.62;CANCELADO;283.46
289;2022-03-27;1255;2570;65;3;23.87;CONFIRMADO;357.49
290;2025-04-14;1919;1440;75;4;36.43;CANCELADO;393.74
291;2022-09-20;1293;1483;28;2;5.33;CONFIRMADO;378.8
292;2025-03-21;206;1888;41;2;10.78;CONFIRMADO;444.1
293;2025-02-04;1852;2769;79;1;5.67;CONFIRMADO;397.02
294;2025-05-20;684;1883;91;2;10.75;CONFIRMADO;317.39
295;2023-06-04;1457;2083;1;1;11.84;CONFIRMADO;499.02
296;2022-08-18;1129;1940;5;2;13.47;CONFIRMADO;475.39
297;2022-10-05;1839;599;23;3;19.45;CANCELADO;286.55
298;2023-09-29;303;595;90;2;46.83;CONFIRMADO;493.23
299;2023-09-29;438;144;21;3;11.31;CANCELADO;338.81
300;2024-03-04;1118;1901;21;3;10.29;CONFIRMADO;307.52
301;2024-04-14;1573;1334;9;2;17.26;CONFIRMADO;453.44
302;2021-01-21;1443;333;67;2;22.65;CONFIRMADO;334.14
303;2024-07-12;1087;1258;11;3;24.68;CONFIRMADO;374.66
304;2024-02-21;1293;2158;99;4;23.35;CONFIRMADO;405.31
305;2022-06-12;1595;2430;85;1;18.22;CONFIRMADO;393.2
306;2023-08-06;333;2703;70;2;28.73;CONFIRMADO;409.25
307;2023-08-18;1774;489;7;4;31.43;CONFIRMADO;422.82
308;2021-09-13;1140;2086;37;1;14.93;CONFIRMADO;414.48
309;2021-05-13;879;122;86;4;9.73;CONFIRMADO;395.95
310;2021-02-15;401;776;15;1;16.82;CONFIRMADO;485.8
311;2025-01-22;896;1947;100;2;34.84;CONFIRMADO;465.35
312;2022-08-17;1537;2844;44;1;16.5;CONFIRMADO;395.63
313;2021-02-18;1687;1760;88;3;12.36;CONFIRMADO;415.24
314;2022-10-07;1284;2249;58;2;5.19;CONFIRMADO;290.24
315;2022-07-12;1102;724;29;1;5.18;CONFIRMADO;306.85
316;2022-02-10;387;896;84;4;46.42;CONFIRMADO;356.75
317;2025-02-14;166;1389;51;3;42.84;CANCELADO;291.89
318;2023-01-06;1274;699;82;2;12.35;CONFIRMADO;363.37
319;2024-02-16;392;428;19;2;24.13;CONFIRMADO;324.79
320;2023-04-20;1304;1500;88;4;39.72;CANCELADO;395.77
321;2024-07-29;1468;885;8;4;44.5;CONFIRMADO;328.09
322;2022-11-27;627;1531;100;2;38.72;CONFIRMADO;378.59
323;2025-01-02;1486;2960;3;1;45.42;CONFIRMADO;350.63
324;2021-12-03;336;450;53;4;25.08;CANCELADO;299.96
325;2023-08-19;794;2787;8;3;31.38;CONFIRMADO;423.48
326;2025-02-04;1371;533;23;3;44.46;CONFIRMADO;326.19
327;2025-06-16;1970;1261;17;3;44.19;CONFIRMADO;454.26
328;2023-10-20;1936;2587;67;1;27.02;CONFIRMADO;470.8
329;2022-04-13;1453;1515;14;1;47.42;CONFIRMADO;354.98
330;2024-10-10;1141;236;3;3;33.26;CONFIRMADO;363.6
331;2021-12-07;314;2297;80;2;7.61;CONFIRMADO;495.99
332;2024-02-14;1052;1160;44;2;38.84;CONFIRMADO;443.47
333;2022-04-13;804;84;4;2;16.88;CONFIRMADO;397.81
334;2024-10-11;1140;2924;42;1;49.32;CONFIRMADO;396.15
335;2022-02-02;1087;2069;80;2;17.1;CONFIRMADO;360.87
336;2023-01-04;456;1760;9;4;45.58;CONFIRMADO;465.05
337;2023-10-12;302;2084;90;3;19.24;CONFIRMADO;440.66
338;2021-01-02;587;563;71;2;25.1;CANCELADO;398.47
339;2022-07-11;857;2482;99;1;8.36;CONFIRMADO;334.87
340;2021-03-24;962;134;13;2;33.28;CANCELADO;352.08
341;2021-02-20;1354;1467;56;2;12.59;CANCELADO;464.4
342;2025-01-21;36;337;5;2;5.59;CONFIRMADO;373.97
343;2025-08-19;1237;1215;73;2;41.82;CONFIRMADO;303.05
344;2021-01-02;1025;1804;49;4;36.29;CANCELADO;464.71
345;2022-10-27;1902;1431;24;4;31.22;CONFIRMADO;493.62
346;2022-06-15;1738;2180;88;1;13.4;CONFIRMADO;426.49
347;2022-05-07;551;885;66;2;42.88;CONFIRMADO;427.88
348;2024-01-04;879;566;88;2;47.08;CANCELADO;337.6
349;2023-10-24;1398;311;5;2;10.4;CONFIRMADO;438.24
350;2021-03-18;365;465;51;2;24.54;CONFIRMADO;385.19
351;2023-02-18;1501;1614;28;2;42.86;CONFIRMADO;310.35
352;2024-07-18;1674;2666;61;1;26.42;CONFIRMADO;346.75
353;2024-02-06;1829;1967;61;2;36.7;CONFIRMADO;410.96
354;2022-09-24;1176;1748;98;3;24.65;CONFIRMADO;496.1
355;2022-06-01;1483;379;85;3;29.3;CONFIRMADO;323.47
356;2024-01-16;1256;1168;90;4;31.34;CONFIRMADO;291.17
357;2022-06-11;1184;530;5;1;10.17;CONFIRMADO;318.25
358;2022-03-17;1159;1739;45;1;45.88;CANCELADO;288.71
359;2023-04-21;832;406;69;1;23.58;CONFIRMADO;327.85
360;2023-09-24;255;345;73;3;10.6;CANCELADO;287.19
361;2021-11-18;801;2994;74;3;24.83;CONFIRMADO;473.36
362;2022-10-28;108;2204;68;1;17.32;CONFIRMADO;452.76
363;2024-04-29;1167;696;67;2;41.35;CANCELADO;458.66
364;2024-07-31;241;2917;64;2;24.23;CONFIRMADO;406.7
365;2024-01-24;1780;2982;68;3;39.08;CONFIRMADO;399.03
366;2021-11-15;1821;1693;83;3;8.72;CONFIRMADO;451.56
367;2024-04-14;721;90;1;3;6.19;CANCELADO;398.6
368;2025-07-11;1421;2382;57;3;42.93;CONFIRMADO;284.86
369;2021-04-01;38;2111;14;3;36.81;CONFIRMADO;490.24
370;2021-02-09;383;1567;92;4;27.53;CONFIRMADO;312.58
371;2022-07-03;1611;2976;82;1;47.86;CONFIRMADO;328.76
372;2022-10-10;334;2726;73;1;34.08;CONFIRMADO;281.76
373;2022-07-11;1052;2614;50;3;48.83;CONFIRMADO;474.12
374;2023-09-26;1759;1817;20;1;10.52;CONFIRMADO;325.11
375;2021-01-16;525;1121;94;1;26.05;CONFIRMADO;322.07
376;2021-03-22;1019;1949;20;4;12.81;CONFIRMADO;380.48
377;2021-07-04;1128;983;98;4;13.24;CONFIRMADO;331.56
378;2025-04-09;840;1080;54;1;39.4;CONFIRMADO;321.77
379;2022-08-17;1364;494;13;3;33.97;CONFIRMADO;465.66
380;2021-11-29;1502;1180;80;1;5.97;CONFIRMADO;336.56
381;2022-07-09;368;1469;67;1;20.83;CANCELADO;396.39
382;2025-05-17;694;1496;47;2;44.41;CONFIRMADO;390.02
383;2022-04-25;1399;1296;48;2;29.07;CANCELADO;498.82
384;2023-12-14;1648;2431;71;4;44.58;CONFIRMADO;392.12
385;2023-07-20;1480;1299;75;3;46.43;CONFIRMADO;451.51
386;2021-02-02;621;144;34;1;9.9;CONFIRMADO;474.66
387;2024-09-05;1512;71;90;2;41.6;CANCELADO;418.98
388;2024-09-03;1316;1006;18;2;45.46;CONFIRMADO;314.29
389;2023-12-25;1633;2907;66;3;21.8;CONFIRMADO;368.14
390;2024-03-06;342;367;65;1;46.5;CONFIRMADO;440.24
391;2023-10-19;1303;2517;75;3;17.8;CONFIRMADO;434.91
392;2024-06-30;1026;2955;21;3;35.03;CONFIRMADO;426.81
393;2023-09-29;474;1571;3;4;30.41;CONFIRMADO;332.75
394;2023-01-14;12;2355;64;1;34.47;CONFIRMADO;298.13
395;2021-12-22;1782;1359;19;3;42.12;CONFIRMADO;331.63
396;2022-12-12;604;956;58;1;44.61;CONFIRMADO;493.72
397;2024-03-09;585;1954;63;3;18.03;CONFIRMADO;349.62
